iter	RMSE
0	328.4804723
1	317.6593318
2	307.3441469
3	298.2543356
4	289.6040393
5	281.176227
6	273.4969061
7	265.9695331
8	258.8047137
9	252.7304555
10	245.9149766
11	240.3401378
12	234.4790819
13	229.1530738
14	224.1686385
15	219.2077014
16	214.5614807
17	210.3103279
18	206.4768085
19	202.5940626
20	199.289664
21	196.1448179
22	192.7820387
23	189.63723
24	186.4808902
25	183.9364568
26	181.2191112
27	178.4423169
28	176.4571308
29	174.354538
30	172.2333498
31	170.3211281
32	168.1020104
33	166.3215311
34	164.5182543
35	162.7975972
36	161.4263808
37	159.845226
38	158.5222623
39	156.8101046
40	155.6580383
41	154.4227036
42	153.2358206
43	152.2277076
44	151.1439219
45	150.2877987
46	149.1094393
47	148.2021506
48	147.5070095
49	146.5294385
50	145.5152895
51	144.6467855
52	143.8304532
53	143.0926917
54	142.7070846
55	142.0514929
56	141.2855723
57	140.3997725
58	139.9153081
59	139.2464262
60	138.6813563
61	138.0836543
62	137.4657976
63	136.6940031
64	136.1822547
65	135.6789156
66	135.0553089
67	134.5748968
68	134.0532108
69	133.4802129
70	132.9975984
71	132.6449393
72	132.2687461
73	131.7744554
74	131.3832578
75	130.9889477
76	130.4871816
77	130.0151975
78	129.6929859
79	129.4095169
80	128.9490869
81	128.5332567
82	128.179452
83	127.769972
84	127.470533
85	127.1512071
86	126.793652
87	126.5179769
88	126.1331924
89	125.670071
90	125.4028759
91	124.9546519
92	124.5980231
93	124.4445463
94	124.1653981
95	123.8967604
96	123.6067656
97	123.3993716
98	123.1019471
99	122.7955774
100	122.4961897
101	122.2416873
102	122.0870635
103	121.923099
104	121.6386915
105	121.3451102
106	121.0113548
107	120.8093671
108	120.5985418
109	120.2809183
110	120.108749
111	119.9071467
112	119.6328616
113	119.3426386
114	119.0777308
115	118.9133902
116	118.6491256
117	118.3961289
118	118.2441648
119	118.0461243
120	117.7800616
121	117.6299576
122	117.2808089
123	117.1270086
124	116.8476679
125	116.6712811
126	116.5751769
127	116.3141821
128	116.1913514
