iter	RMSE
129	116.0171745
130	115.8215262
131	115.6401326
132	115.4577783
133	115.2061357
134	115.0529069
135	114.9155111
136	114.7145888
137	114.5326195
138	114.2605486
139	114.1312426
140	114.0285789
141	113.8924125
142	113.6869601
143	113.5177777
144	113.2253513
145	113.0592106
146	112.883879
147	112.7089979
148	112.581786
149	112.4766486
150	112.3194953
151	112.1716238
152	112.0599783
153	111.8214871
154	111.6884764
155	111.4639754
156	111.2810482
157	111.1317952
158	111.0004649
159	110.8401738
160	110.7152692
161	110.5785925
162	110.395954
163	110.3010388
164	110.0880892
165	109.9443304
166	109.7425547
167	109.595945
168	109.5295345
169	109.3645807
170	109.1458252
171	108.9672056
172	108.7508601
173	108.6345895
174	108.4398654
175	108.2254247
176	108.0817633
177	107.9146447
178	107.7629082
179	107.5751688
180	107.4615384
181	107.3512222
182	107.2155949
183	107.0947681
184	106.986914
185	106.8547369
186	106.7056976
187	106.5514436
188	106.4035336
189	106.2630215
190	106.12086
191	105.9666334
192	105.8545579
193	105.7071153
194	105.5981794
195	105.5007025
196	105.3839179
197	105.2637703
198	105.115922
199	104.9385125
200	104.7979341
201	104.6701466
202	104.550762
203	104.4317991
204	104.316827
205	104.2100356
206	104.0662552
207	103.9595952
208	103.8471539
209	103.7362556
210	103.6251465
211	103.5224246
212	103.4057958
213	103.3039658
214	103.1529921
215	103.0032875
216	102.8593992
217	102.7508071
218	102.6589811
219	102.499957
220	102.4100669
221	102.2720125
222	102.1380484
223	101.9966774
224	101.8690769
225	101.6564077
226	101.5467616
227	101.4207878
228	101.3396298
229	101.1854616
230	101.1020511
231	101.023684
232	100.8476591
233	100.724077
234	100.58869
235	100.4104811
236	100.3072044
237	100.165793
238	100.0574034
239	99.95818272
240	99.86259852
241	99.7818339
242	99.71440588
243	99.61295357
244	99.52165094
245	99.43496813
246	99.33887128
247	99.24751585
248	99.10670696
249	98.99688784
250	98.89972434
251	98.83788712
252	98.64412159
253	98.49711695
254	98.40521559
255	98.34296343
256	98.25333743
257	98.14377345
258	98.06559545
259	98.0095395
260	97.95067936
261	97.87425484
262	97.68230184
263	97.58429662
264	97.50605517
265	97.4068221
266	97.35044358
267	97.29875339
268	97.19492678
269	97.11240929
270	97.03598014
271	96.95172186
272	96.90128888
273	96.81373165
274	96.67959562
275	96.60457347
276	96.5548743
277	96.47597284
278	96.40435895
279	96.31424909
280	96.26751746
281	96.13673106
282	96.09481576
283	96.01826403
284	95.94708641
285	95.86353412
286	95.78690081
287	95.73255008
288	95.6547121
289	95.61544701
290	95.54333018
291	95.49580381
292	95.46059269
293	95.38727617
294	95.31610183
295	95.24360144
296	95.19468407
297	95.13923386
298	94.99656174
299	94.9342301
300	94.85720593
301	94.79047761
302	94.72847599
303	94.68355593
304	94.56392837
305	94.50102921
306	94.42942621
307	94.36482251
308	94.29907379
309	94.16752473
310	94.10311489
311	94.03935012
312	93.93610783
313	93.87020405
314	93.74807681
315	93.68907823
316	93.61669356
317	93.55418922
318	93.44414116
319	93.3850545
320	93.32207444
321	93.2436331
322	93.18632688
323	93.12918765
324	93.06904653
325	93.02276974
326	92.95249122
327	92.89894646
328	92.84280734
329	92.78054355
330	92.69202848
331	92.63105726
332	92.52564822
333	92.45486796
334	92.34926232
335	92.25336754
336	92.17652658
337	92.11274082
338	92.05544717
339	92.0031269
340	91.96718088
341	91.90598618
342	91.83368571
343	91.78497948
344	91.75176525
345	91.56716855
346	91.51894198
347	91.46371148
348	91.41820459
349	91.35925054
350	91.28764093
351	91.22157643
352	91.19088711
353	91.137444
354	91.07531811
355	91.01988529
356	90.94759003
357	90.87835656
358	90.731542
359	90.69678951
360	90.65690995
361	90.57191914
362	90.51654889
363	90.46695912
364	90.39079581
365	90.34387975
366	90.29162857
367	90.23750129
368	90.20971919
369	90.14664817
370	90.09874165
371	90.04781095
372	90.00062754
373	89.92340661
374	89.83086937
375	89.74644612
376	89.61915336
377	89.56253785
378	89.515395
379	89.48957018
380	89.44853402
381	89.39599379
382	89.31948851
383	89.22518069
384	89.12416055
385	89.03498892
386	88.98508464
387	88.93387861
388	88.87549715
389	88.79641321
390	88.75294243
391	88.67526963
392	88.63139764
393	88.58742671
394	88.54294733
395	88.49158714
396	88.39834798
397	88.32827081
398	88.30362375
399	88.23946142
400	88.15547018
401	88.09148798
402	88.04472064
403	88.01289362
404	87.96079498
405	87.88942875
406	87.81415683
407	87.7700711
408	87.69663251
409	87.63882675
410	87.56059096
411	87.49218846
412	87.44409695
413	87.39657088
414	87.35093301
415	87.27734827
416	87.24110197
417	87.172
418	87.12653714
419	87.06328609
420	87.00871629
421	86.98627095
422	86.91605788
423	86.85853317
424	86.79858861
425	86.7314581
426	86.69567122
427	86.65231802
428	86.60908087
429	86.48280837
430	86.42080373
431	86.36303823
432	86.34199484
433	86.30882495
434	86.22602826
435	86.16668905
436	86.09473756
437	86.05037399
438	86.00984129
439	85.96486556
440	85.90801625
441	85.87553024
442	85.83524758
443	85.74973608
444	85.69524184
445	85.62607364
446	85.58607078
447	85.53948135
448	85.50708723
449	85.44362019
450	85.40738549
451	85.36944691
452	85.33945241
453	85.29785048
454	85.26005709
455	85.19713016
456	85.18025868
457	85.15063314
458	85.08992032
459	85.03900585
460	84.96429074
461	84.91480995
462	84.85021036
463	84.81693416
464	84.77994133
465	84.74963164
466	84.68010984
467	84.56935606
468	84.52947267
469	84.50981765
470	84.40447914
471	84.37542929
472	84.32046954
473	84.28628677
474	84.23125409
475	84.18166359
476	84.15437794
477	84.1023741
478	84.05193478
479	84.01017553
480	83.97441127
481	83.95067663
482	83.91297479
483	83.84204713
484	83.81538235
485	83.75983793
486	83.70748383
487	83.66855557
488	83.5961804
489	83.56737401
490	83.4951476
491	83.47018094
492	83.41195067
493	83.35369324
494	83.31525577
495	83.24674459
496	83.18867287
497	83.14335754
498	83.10403243
499	83.08582811
500	83.0424161
501	82.9919402
502	82.90779473
503	82.88468209
504	82.82159982
505	82.78433821
506	82.76079794
507	82.69895016
508	82.64524555
509	82.57158064
510	82.54672702
511	82.51982439
512	82.48476818
513	82.43361088
514	82.39148478
515	82.35116553
516	82.32602471
517	82.28738036
518	82.27123408
519	82.25001998
520	82.21794383
521	82.18119477
522	82.15402746
523	82.08889726
524	82.0473451
525	82.00163667
526	81.93092743
527	81.86368
528	81.83306908
529	81.80644019
530	81.78943203
531	81.75413688
532	81.73800911
533	81.70435454
534	81.68905175
535	81.65680577
536	81.64234552
537	81.62850973
538	81.59741254
539	81.56219545
540	81.53821125
541	81.52540109
542	81.50669092
543	81.47768139
544	81.43193821
545	81.39279509
546	81.32101983
547	81.25255652
548	81.20491983
549	81.15980464
550	81.08661073
551	81.05325542
552	81.03110589
553	81.00809934
554	80.961036
555	80.89545807
556	80.8663013
557	80.81628006
558	80.7642196
559	80.7426945
560	80.71380589
561	80.67172444
562	80.63845436
563	80.61763455
564	80.57234846
565	80.51896478
566	80.44602154
567	80.40270208
568	80.3251544
569	80.22329961
570	80.17784417
571	80.15240776
572	80.10959189
573	80.06564087
574	79.9989806
575	79.9623396
576	79.91309415
577	79.86936429
578	79.8489251
579	79.78799483
580	79.70973716
581	79.68500496
582	79.61083859
583	79.5794874
584	79.51641653
585	79.4262244
586	79.40282179
587	79.3413351
588	79.29590308
589	79.25732926
590	79.2064374
591	79.194535
592	79.13499852
593	79.09533252
594	79.05309237
595	79.00738218
596	78.94973146
597	78.87963843
598	78.82492173
599	78.80339658
600	78.76542826
601	78.74856753
602	78.72338439
603	78.69221279
604	78.65205118
605	78.64090409
606	78.61685746
607	78.59184961
608	78.54645084
609	78.51718702
610	78.49857702
611	78.48610379
612	78.46336216
613	78.44597912
614	78.41996351
615	78.37616976
616	78.35929438
617	78.31464115
618	78.25579228
619	78.23937435
620	78.20622128
621	78.18268838
622	78.08152905
623	78.02200202
624	78.0013371
625	77.98579065
626	77.94639066
627	77.91067324
628	77.87317884
629	77.83022303
630	77.81299339
631	77.76342207
632	77.7220943
633	77.68108906
634	77.66588728
635	77.6468198
636	77.62385387
637	77.57577452
638	77.53960213
639	77.49332108
640	77.43621388
641	77.40258668
642	77.36142143
643	77.32052259
644	77.28676107
645	77.23629646
646	77.2158981
647	77.20137517
648	77.1660152
649	77.1156846
650	77.06778016
651	77.03731533
652	76.97592071
653	76.95754665
654	76.92503264
655	76.8639403
656	76.82398267
657	76.74224004
658	76.71172543
659	76.67332076
660	76.60919311
661	76.56157075
662	76.54386407
663	76.527271
664	76.51382214
665	76.48166458
666	76.39698451
667	76.36179089
668	76.31973741
669	76.27500424
670	76.24898802
671	76.21864197
672	76.20184969
673	76.16578536
674	76.13206443
675	76.07742436
676	76.03371819
677	75.99838862
678	75.97579634
679	75.95961457
680	75.92238655
681	75.89299843
682	75.85403091
683	75.79443011
684	75.77322399
685	75.72566001
686	75.67063794
687	75.63880224
688	75.6268648
689	75.61463975
690	75.59634959
691	75.57481282
692	75.53997418
693	75.51334985
694	75.48205615
695	75.44764191
696	75.42597139
697	75.39276612
698	75.35104068
699	75.30840734
700	75.28183681
701	75.27012597
702	75.24749651
703	75.2056376
704	75.18553763
705	75.16546262
706	75.13415443
707	75.10971402
708	75.08271967
709	75.06237288
710	75.03599345
711	74.99624297
712	74.97058253
713	74.9470781
714	74.9082883
715	74.87351934
716	74.84162173
717	74.80911647
718	74.78384456
719	74.7451664
720	74.70835038
721	74.67255981
722	74.63751339
723	74.61210209
724	74.57864034
725	74.54530758
726	74.50792787
727	74.47593024
728	74.43550832
729	74.41399118
730	74.37570466
731	74.34664888
732	74.31742589
733	74.28692575
734	74.24273965
735	74.2142179
736	74.18677862
737	74.15383265
738	74.13209365
739	74.09082155
740	74.06180822
741	74.03708836
742	73.99926738
743	73.97709294
744	73.93727107
745	73.90514971
746	73.86811347
747	73.82301429
748	73.77611586
749	73.75042746
750	73.73996755
751	73.71322217
752	73.68043976
753	73.658467
754	73.61707245
755	73.59254019
756	73.57109638
757	73.55457332
758	73.51700223
759	73.49660736
760	73.45559672
761	73.41555469
762	73.38351137
763	73.34534433
764	73.32283741
765	73.30311287
766	73.27240637
767	73.20569275
768	73.18675506
769	73.1466252
770	73.10869305
771	73.08763247
772	73.067887
773	73.05561616
774	73.02044702
775	72.99105386
776	72.97684019
777	72.94977437
778	72.93612973
779	72.91663649
780	72.90593004
781	72.87089383
782	72.8248097
783	72.80313524
784	72.7699393
785	72.75180238
786	72.7389773
787	72.7283292
788	72.70139157
789	72.68899088
790	72.66396702
791	72.63387961
792	72.61490372
793	72.58435534
794	72.56237143
795	72.5503795
796	72.52310445
797	72.51156623
798	72.50227258
799	72.48471667
800	72.46682202
801	72.44540062
802	72.41111836
803	72.38554378
804	72.36417286
805	72.34426446
806	72.27712649
807	72.23850452
808	72.21217706
809	72.17344278
810	72.15459019
811	72.1261694
812	72.08095079
813	72.06052716
814	72.04007385
815	72.0243781
816	72.01167448
817	71.99393449
818	71.95734693
819	71.94915309
820	71.92159859
821	71.88839054
822	71.87167882
823	71.84331804
824	71.78136279
825	71.73979861
826	71.72163658
827	71.69176242
828	71.64815193
829	71.62172178
830	71.59436403
831	71.57626426
832	71.56158474
833	71.5424305
834	71.53002394
835	71.47776709
836	71.44980481
837	71.40463897
838	71.37396872
839	71.32811703
840	71.30021806
841	71.28288769
842	71.26853483
843	71.22716475
844	71.19828144
845	71.18650521
846	71.14843132
847	71.12189434
848	71.08918654
849	71.06393406
850	71.0339358
851	71.00583584
852	70.98053298
853	70.96661177
854	70.92996583
855	70.90357193
856	70.88756249
857	70.86293696
858	70.82593521
859	70.80529457
860	70.77541315
861	70.75321037
862	70.73299245
863	70.70139227
864	70.68294784
865	70.66857989
866	70.64665533
867	70.61746343
868	70.5942844
869	70.58225407
870	70.57454783
871	70.55806009
872	70.52437283
873	70.49265548
874	70.46477377
875	70.44530732
876	70.40814321
877	70.39529537
878	70.3663372
879	70.35006096
880	70.32772506
881	70.30191814
882	70.2659699
883	70.24514959
884	70.23059831
885	70.21673017
886	70.20350269
887	70.19087665
888	70.17239957
889	70.1604421
890	70.14901294
891	70.14025207
892	70.12937361
893	70.11432515
894	70.10596089
895	70.09559968
896	70.08140278
897	70.05961907
898	70.05162244
899	70.04392523
900	70.03411166
901	70.02074599
902	69.99725458
903	69.90912758
904	69.88602554
905	69.85376927
906	69.83378311
907	69.8178276
908	69.79824741
909	69.78882259
910	69.77325435
911	69.75339761
912	69.70931104
913	69.68732328
914	69.6538703
915	69.57139498
916	69.53292682
917	69.50843699
918	69.4778388
919	69.44960727
920	69.41715173
921	69.38060198
922	69.34810291
923	69.31427678
924	69.23704545
925	69.21737312
926	69.18684077
927	69.12523722
928	69.10126456
929	69.08009732
930	69.06170301
931	69.04212802
932	69.00235883
933	68.98180024
934	68.9527152
935	68.92495959
936	68.89394576
937	68.82256929
938	68.79648114
939	68.7685879
940	68.7404022
941	68.69309375
942	68.63654452
943	68.61879139
944	68.60518852
945	68.55798834
946	68.52640117
947	68.49637596
948	68.47286059
949	68.44983203
950	68.43142086
951	68.42218153
952	68.41358309
953	68.39194194
954	68.35371493
955	68.32946337
956	68.26248292
957	68.23555856
958	68.18555417
959	68.15899306
960	68.1287532
961	68.10483022
962	68.05628387
963	68.0337774
964	68.01542609
965	67.98486396
966	67.93816068
967	67.90740511
968	67.87816148
969	67.84910545
970	67.7810694
971	67.75007536
972	67.72605308
973	67.705742
974	67.67968998
975	67.65512493
976	67.63904942
977	67.62049261
978	67.59094575
979	67.56145855
980	67.52180145
981	67.50263654
982	67.47778686
983	67.46131126
984	67.3997826
985	67.36782699
986	67.32562494
987	67.29506875
988	67.27934211
989	67.2570066
990	67.21665183
991	67.19459348
992	67.16863568
993	67.1304265
994	67.10649394
995	67.08546224
996	67.06642957
997	67.04877307
998	67.01658729
999	67.00178499
